Employer,Employer Industry,Description,Website,Job Titles,Combined Majors
Arkansas Department of Energy and Environment,"Government - Local, State & Federal","The mission of the Arkansas Department of Energy and Environment (E&E) is to provide effective and efficient energy and environmental solutions informed by science. The Department promotes responsible management of resources and protects the environment for the benefit of all Arkansans.  E&E's headquarters is located in North Little Rock and has offices across the state.

The Division of Environmental Quality (DEQ)  advances the quality of our environment and economy through the protection of air, land, and water resources. The Division of Energy and Mineral Resources (DEMR)  promotes sustainable, orderly, and environmentally sound development of energy and mineral resources. ",https://ee.arkansas.gov/,None,
A2H - Engineers • Architects • Planners,Architecture and Planning,"Our Offices: 
Memphis, TN / Nashville, TN / Knoxville, TN / Jackson, TN / Savannah, TN / Oxford, MS
A2H is a collaborative planning and design firm of architects, engineers, landscape architects, and interior designers founded in 1986. Our firm provides a diverse range of consulting services for both public and private clients, with over 10,000 completed
projects spanning 48 states and offices located across Tennessee and Mississippi.


",https://www.a2h.com/,Engineering Designers,
FedEx Services,Transportation & Logistics,"FedEx. Where now meets next.  

Our vision is to be the earth’s most engaged advocates of connected commerce where open borders, new markets and fair, sustainable practices are the norm for the billions of personal supply chains being managed every day in our always on, mobile-first world. We stand for ease, access and opportunity. We lead purposeful innovation, champion entrepreneurs, advocate free trade and empower humans and their place in the era of autonomy and AI. We fight for our customers, a more sustainable planet and an ethical playing field. ",https://careers.fedex.com/services,None,
"Kinectrics AES, Inc.",Engineering & Construction,"Kinectrics is a leading provider of innovative life cycle management solutions for the global electricity industry. Known for its employees' technical excellence, Kinectrics provides challenging work, the opportunity for career growth, and flexible working conditions. Our Design Engineering Group specializes in designing, modifying, and upgrading nuclear power generation facilities for many of the largest utility clients in the U.S.  We are always looking for talented Mechanical, Electrical, and Civil engineers to join our growing team. With our headquarters in Naperville, IL, you will have the option of working a hybrid office/work-from-home schedule. If you enjoy working with a multi-discipline team of engineers, this job is for you!",http://www.kinectrics.com,"Mechanical Engineer-Entry Level, Civil/Structural Engineer - Entry Level, Electrical Engineer-Entry Level","Civil Engineering, Computational Hydroscience, Electrical Engineering, Environmental Engineering, Major - Mechanical Engineering, Mechanical Engineering"
Medtronic,Medical Devices," With our expanding portfolio of innovative products and the scale of our global business, Medtronic is leveraging data, innovation, customer voice, market trends, and patient experiences to create unique value in the med-tech sector.
To forge a bold new future in healthcare, we will:
• Accelerate innovation-driven growth
• Bring our technologies to emerging markets
• Create better experiences for patients, customers, and employees
• Turn data, AI and automation into action
At Medtronic, we have the Medtronic Mindset that empowers us to meet our commitments. We:
Act boldly
Compete to win
Move with speed & decisiveness:
Foster belonging
Deliver results… the right way",https://www.medtronic.com/us-en/our-company/careers/early-careers.html,None,
Valero,Oil & Gas,"Valero is an international manufacturer and marketer of transportation fuels and petrochemical products. Valero is based in San Antonio, Texas, and it operates 15 petroleum refineries with a combined throughput capacity of approximately 3.2 million barrels per day and 12 ethanol plants with a combined production capacity of 1.6 billion gallons per year.  Valero also is a joint venture partner in Diamond Green Diesel, which operates a renewable diesel plant in Norco, Louisiana. 

Valero's employees are the heart of its success. It’s not just the excellent benefits package, or the opportunities for personal growth, it’s also the caring and committed culture of the organization that makes everyone feel like they’re truly part of a team. 

",http://www.valero.com,Engineering Internships,
Chief Engineering PLLC,Engineering & Construction,"Chief Engineering offers a full suite of mechanical, electrical, plumbing, and structural engineering services. Our company was established by professional engineers who saw a need to enhance traditional processes. By embracing cutting-edge technology, we're able to deliver high quality products quicker and more accurately than the competition. Our suite of 3D scanning technology delivers high quality results for our customers. We strive to provide best-in-class services and deliverables to our customers, and we value opportunities to find innovative solutions. We're honest, ethical, and committed to helping our clients succeed while keeping safety at the heart of our operations.",http://www.chiefengineering.us,None,
City of West Memphis,"Government - Local, State & Federal","City of West Memphis - Municipal Government
",https://www.westmemphisar.gov/,City Engineer,
Kimberly-Clark,CPG - Consumer Packaged Goods,"Huggies®. Kleenex®. Cottonelle®. Scott®. Kotex®. Poise®. Depend®. Kimberly-Clark Professional®. You already know our legendary brands—and so does the rest of the world. In fact, millions of people use Kimberly-Clark products every day. We know that these amazing Kimberly-Clark products wouldn’t exist without talented professionals, like you.  

 At Kimberly-Clark, you’ll be part of the best team committed to driving innovation, growth and impact. We’re founded on 150 years of market leadership, and we’re always looking for new and better ways to perform – so there’s your open door of opportunity. It’s all here for you at Kimberly-Clark; you just need to log on!  
",https://www.careersatkc.com/en/our-careers/college-students,None,
Mississippi Department of Transportation,"Government - Local, State & Federal","The Mississippi Department of Transportation is responsible for providing a safe intermodal transportation network that is planned, designed, constructed and maintained in an effective, cost efficient, and environmentally sensitive manner.",http://www.gomdot.com,"Engineers, Engineering and Maintenance Techs",
"Memphis Light, Gas and Water",Utilities and Renewable Energy,"MLGW is the nation's largest three-service municipal utility, serving nearly 421,000 customers. Since 1939, MLGW has met the utility needs of Memphis and Shelby County residents by delivering reliable and affordable electricity, natural gas and water service.",http://www.mlgw.com,None,
Prysmian Group,Manufacturing,"We are the world’s leading energy and telecom cable systems provider and play a crucial role in the sustainable energy transition and digitization of our communities.
Each year, the Group manufacturers thousands of miles of underground and submarine cables and systems for power transmission and distribution, as well as medium low voltage cables for the construction and infrastructure sectors. We also produce a comprehensive range of optical fibers, copper cables and connectivity for voice, video, and data transmission for the telecommunication sector. 
We are almost 29,000 employees, across 52 countries. 
",https://na.prysmiangroup.com/,None,
Continental AG,Automotive,"Continental develops pioneering technologies and services for sustainable and connected mobility of people and their goods. Founded in 1871, the technology company offers safe, efficient, intelligent and affordable solutions for vehicles, machines, traffic and transportation. In 2022, Continental generated sales of €39.4 billion and currently employs around 200,000 people in 57 countries and markets.",http://www.continental-corporation.com,None,"Bioinformatics, Chemical Engineering, Computational Hydroscience, Computer Engineering, Computer Science, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, General Engineering, Keyboard, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering, MIS, Telecommunications, Track - Computer Language"
"ACI Building Systems, LLC",Manufacturing,"ACI Building Systems, LLC started its operation in 1990 and has successfully grown to become one of the largest steel manufacturers in the southeast. Our goal is to provide our customers with quality products and services that enable them to complete projects on time and within budget. ACI designs and fabricates each building in accordance with AWS, AISI, ASTM, MBMA, and local building codes set forth by the architectural plans and specifications and offers certified stamped drawings by a state registered professional engineer as required by the engineer of record.",http://www.acibuildingsystems.com,"Director of Engineering & Qualtiy, Senior Project Estimator",
"Neel-Schaffer, Inc",Civil Engineering,"Founded in 1983 by Hibbett Neel and Gorman Schaffer, Neel-Schaffer is a respected engineering and planning firm based in Jackson, MS. As a leading privately held, employee-owned entity in the South, it boasts 38 offices across nine states. Ranked in the Top 500 Design Firms by Engineering News-Record since 1994, it offers services in Transportation, Water, Civil/Site, and Environmental areas. The firm partners with subsidiaries Maptech for GIS/surveying and True North for disaster management. Neel-Schaffer guarantees prompt, cost-effective, superior services.",http://www.neel-schaffer.com,Civil Engineering,
RTX (formerly Raytheon Technologies),Defense,"We are Raytheon Technologies, a company of innovators committed to building a safer, more connected world. Here, you can apply your skills toward advancing aviation, creating innovations that take us deeper into space, and developing smarter defense systems. We’re stretching the boundaries of what’s possible every day with our transformational technologies. Join us and let’s rise to the challenge of the moment together.",https://careers.rtx.com/global/en/campus,"Electrical Engineer, Mechanical Engineer, Quality Engineer, Finance, Operations",
Walmart & Sam's Club,Retail Stores,"Big thinkers. Bigger impact.
We’re looking for ambitious and motivated summer interns - undergraduates, graduates, and MBAs - to join us in powering the future of retail. There’s a path for everyone to start a purpose-driven career at Walmart & Sam's Club. Here you will unlock your potential while impacting millions of people. 

Are you ready?

Why start at Walmart/Sam's Club.

Dare to be epic. Unlock your purpose-driven career. You’ll have access to industry leaders, growth opportunities, and the chance to change the way the world shops.",https://careers.walmart.com,"2024 Full Time: Global Staff Auditor, US Audit, Internal Audit, 2024 Summer Intern: Global Audit","Accountancy, Business Administration, Computer Engineering, Computer Science, Finance, Global Supply Chain Mgmt., Management Information Systems"
"Hytrol Conveyor Co., Inc",Manufacturing,"Hytrol is a world leader in the design and manufacturing of advanced conveyor systems, controls, and solutions for customers with processing, manufacturing, warehousing, and distribution needs. Since our founding in 1947, we have demonstrated an unwavering dedication to understanding the material handling needs of businesses in varying industries. From a single conveyor unit to a comprehensive material handling system, Hytrol creates world-class solutions with world-class service.",http://www.hytrol.com/web/index.php,Summer Intern,"Computer Engineering, Electrical Engineering, Major - Mechanical Engineering, Mechanical Engineering"
Bioenergy Development Group,Oil & Gas,"Our biodiesel is distilled. Distilling biodiesel is an extra polishing step where we boil the undistilled biodiesel and remove any potential solids/impurities that can clog fuel filters. 

Biodiesel is playing a key role in reducing global greenhouse gas emissions.  Life cycle analysis completed by Argonne National Laboratory found that biodiesel use reduces carbon dioxide emissions by 74% compared with petroleum diesel.  Biodiesel also improves fuel lubricity and raises the cetane number of the fuel. The higher the number, the better the fuel burns within the engine of a vehicle .",https://www.bdgfuels.com/,Chemical Process Operator,"Aeroacoustics, Air and Space Law, Biochemistry, Bioinformatics, Biological Science, Biology, BioMedical, Biomedical Engineering, Chemical Engineering, Chemistry, Civil Engineering, Computational Hydroscience, Computer Engineering, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, Environmental Engineering, Forensic Chemistry, General Engineering, Hydrology, Major - Mathematics, Major - Mechanical Engineering, Major - Physics, Manufacturing, Materials, Materials Science and Engr., Math, Mathematics, Math for School of Engineering, Mathmatics, Mechanical Engineering, Medicinal Chemistry, Physics, Science, Secondary Chemistry Education, Specialization - Biology, Specialization - Math, Specialization - Science/Biology"
"Inland Rivers, Ports and Terminals",Transportation & Logistics,"IRPT is a trade association who's mission is to be a resource for private & public inland river ports, terminals, and river-borne transportation services and to promote the value of the inland transportation system to users and policy makers.

IRPT provides a national perspective on federal legislative and policy issues affecting ports and terminals.

IRPT keeps members abreast of technical, operational, economic and security issues affecting U.S. inland ports, terminals and river systems.

IRPT promotes, markets and unifies the inland ports, terminals and river systems in support of hiring a unified, educated workforce.",https://www.irpt.net/about-us/,NA,
Trane Technologies,Manufacturing,"At Trane Technologies, we're connected by our purpose to boldly challenge what's possible for a sustainable world. We are a global climate innovator. Through our strategic brands, Trane, Thermo King and portfolio of innovative products and services, we bring efficient and sustainable climate solutions to buildings, homes and transportation. We are driven to solve sustainable challenges through innovation in the heating and cooling industries. 

We uplift our communities and make an impact towards a better, stronger planet. We do the same when it comes to helping you thrive at work and home, through meaningful benefits and compensation, flexibility, and opportunities for real growth. 

",https://tranetechnologies.com,"Account Manager-Services (Memphis, TN)",
